TimeSeries ID,value_used_bytes_aggregate resource.namespace_name=kube-system,value_used_bytes_aggregate resource.namespace_name=gmp-system,value_used_bytes_aggregate resource.namespace_name=akoflow
resource.namespace_name,kube-system,gmp-system,akoflow
Fri May 10 2024 17:59:00 GMT-0300 (Horário Padrão de Brasília),undefined,undefined,778207232
Fri May 10 2024 18:00:00 GMT-0300 (Horário Padrão de Brasília),444837888,118272000,undefined
Fri May 10 2024 18:01:00 GMT-0300 (Horário Padrão de Brasília),443846656,115838976,undefined
Fri May 10 2024 18:02:00 GMT-0300 (Horário Padrão de Brasília),418394112,116207616,undefined
Fri May 10 2024 18:03:00 GMT-0300 (Horário Padrão de Brasília),413982720,116166656,undefined
Fri May 10 2024 18:04:00 GMT-0300 (Horário Padrão de Brasília),407388160,117202944,undefined
Fri May 10 2024 18:05:00 GMT-0300 (Horário Padrão de Brasília),410050560,118190080,undefined
Fri May 10 2024 18:06:00 GMT-0300 (Horário Padrão de Brasília),416989184,118226944,5275648
Fri May 10 2024 18:07:00 GMT-0300 (Horário Padrão de Brasília),417767424,119681024,46804992
Fri May 10 2024 18:08:00 GMT-0300 (Horário Padrão de Brasília),418545664,118571008,2161483776
Fri May 10 2024 18:09:00 GMT-0300 (Horário Padrão de Brasília),418099200,118136832,2421886976
Fri May 10 2024 18:10:00 GMT-0300 (Horário Padrão de Brasília),413626368,117788672,2596757504
Fri May 10 2024 18:11:00 GMT-0300 (Horário Padrão de Brasília),408682496,117739520,2132393984
Fri May 10 2024 18:12:00 GMT-0300 (Horário Padrão de Brasília),410533888,116162560,2314481664
Fri May 10 2024 18:13:00 GMT-0300 (Horário Padrão de Brasília),408285184,114728960,2368897024
Fri May 10 2024 18:14:00 GMT-0300 (Horário Padrão de Brasília),416231424,113528832,2312044544
Fri May 10 2024 18:15:00 GMT-0300 (Horário Padrão de Brasília),421584896,115707904,2884644864
Fri May 10 2024 18:16:00 GMT-0300 (Horário Padrão de Brasília),424443904,117477376,3176222720
Fri May 10 2024 18:17:00 GMT-0300 (Horário Padrão de Brasília),421699584,117911552,3475271680
Fri May 10 2024 18:18:00 GMT-0300 (Horário Padrão de Brasília),421445632,117452800,3607302144
Fri May 10 2024 18:19:00 GMT-0300 (Horário Padrão de Brasília),421900288,115658752,3676495872
Fri May 10 2024 18:20:00 GMT-0300 (Horário Padrão de Brasília),414334976,117161984,3465596928
Fri May 10 2024 18:21:00 GMT-0300 (Horário Padrão de Brasília),423194624,118341632,3105492992
Fri May 10 2024 18:22:00 GMT-0300 (Horário Padrão de Brasília),423968768,120819712,1490194432
Fri May 10 2024 18:23:00 GMT-0300 (Horário Padrão de Brasília),425299968,118833152,1389355008
Fri May 10 2024 18:24:00 GMT-0300 (Horário Padrão de Brasília),428396544,119312384,1584496640
Fri May 10 2024 18:25:00 GMT-0300 (Horário Padrão de Brasília),427233280,116826112,1868193792
