TimeSeries ID,t_0_value_request_bytes_sum_sub resource.namespace_name=kube-system,t_0_value_request_bytes_sum_sub resource.namespace_name=gmp-system,t_0_value_request_bytes_sum_sub resource.namespace_name=akoflow
resource.namespace_name,kube-system,gmp-system,akoflow
Fri May 10 2024 18:00:00 GMT-0300 (Horário Padrão de Brasília),598009472,-26272000,-778207232
Fri May 10 2024 18:01:00 GMT-0300 (Horário Padrão de Brasília),599000704,-23838976,undefined
Fri May 10 2024 18:02:00 GMT-0300 (Horário Padrão de Brasília),624453248,-24207616,undefined
Fri May 10 2024 18:03:00 GMT-0300 (Horário Padrão de Brasília),628864640,-24166656,undefined
Fri May 10 2024 18:04:00 GMT-0300 (Horário Padrão de Brasília),635459200,-25202944,undefined
Fri May 10 2024 18:05:00 GMT-0300 (Horário Padrão de Brasília),632796800,-26190080,undefined
Fri May 10 2024 18:06:00 GMT-0300 (Horário Padrão de Brasília),625858176,-26226944,-5275648
Fri May 10 2024 18:07:00 GMT-0300 (Horário Padrão de Brasília),625079936,-27681024,1832243200
Fri May 10 2024 18:08:00 GMT-0300 (Horário Padrão de Brasília),624301696,-26571008,-282435584
Fri May 10 2024 18:09:00 GMT-0300 (Horário Padrão de Brasília),624748160,-26136832,-542838784
Fri May 10 2024 18:10:00 GMT-0300 (Horário Padrão de Brasília),629220992,-25788672,-717709312
Fri May 10 2024 18:11:00 GMT-0300 (Horário Padrão de Brasília),634164864,-25739520,-253345792
Fri May 10 2024 18:12:00 GMT-0300 (Horário Padrão de Brasília),632313472,-24162560,-435433472
Fri May 10 2024 18:13:00 GMT-0300 (Horário Padrão de Brasília),634562176,-22728960,-489848832
Fri May 10 2024 18:14:00 GMT-0300 (Horário Padrão de Brasília),626615936,-21528832,1483390976
Fri May 10 2024 18:15:00 GMT-0300 (Horário Padrão de Brasília),621262464,-23707904,2215628800
Fri May 10 2024 18:16:00 GMT-0300 (Horário Padrão de Brasília),618403456,-25477376,850309120
Fri May 10 2024 18:17:00 GMT-0300 (Horário Padrão de Brasília),621147776,-25911552,-790917120
Fri May 10 2024 18:18:00 GMT-0300 (Horário Padrão de Brasília),621401728,-25452800,-1728253952
