TimeSeries ID,t_0_value_request_bytes_sum_sub resource.namespace_name=kube-system,t_0_value_request_bytes_sum_sub resource.namespace_name=gmp-system,t_0_value_request_bytes_sum_sub resource.namespace_name=akoflow
Fri May 10 2024 18:19:00 GMT-0300 (Horário Padrão de Brasília),620947072,-23658752,-1797447680
Fri May 10 2024 18:20:00 GMT-0300 (Horário Padrão de Brasília),628512384,-25161984,-1854660608
Fri May 10 2024 18:21:00 GMT-0300 (Horário Padrão de Brasília),619652736,-26341632,-150949888
Fri May 10 2024 18:22:00 GMT-0300 (Horário Padrão de Brasília),618878592,-28819712,3558334464
Fri May 10 2024 18:23:00 GMT-0300 (Horário Padrão de Brasília),617547392,-26833152,3976421376
Fri May 10 2024 18:24:00 GMT-0300 (Horário Padrão de Brasília),614450816,-27312384,3247341568
Fri May 10 2024 18:25:00 GMT-0300 (Horário Padrão de Brasília),615614080,-24826112,2384195584
Fri May 10 2024 18:26:00 GMT-0300 (Horário Padrão de Brasília),615929472,-25878784,1744764928
Fri May 10 2024 18:27:00 GMT-0300 (Horário Padrão de Brasília),614467200,-25313536,141361152
Fri May 10 2024 18:28:00 GMT-0300 (Horário Padrão de Brasília),613422720,-23560448,-421421056
Fri May 10 2024 18:29:00 GMT-0300 (Horário Padrão de Brasília),615413376,-21618944,-904609792
Fri May 10 2024 18:30:00 GMT-0300 (Horário Padrão de Brasília),617465472,-21709056,-542363648
Fri May 10 2024 18:31:00 GMT-0300 (Horário Padrão de Brasília),614618752,-22065408,-745435136
Fri May 10 2024 18:32:00 GMT-0300 (Horário Padrão de Brasília),612456064,-24465664,-94035968
Fri May 10 2024 18:33:00 GMT-0300 (Horário Padrão de Brasília),610666112,-25346304,2200272896
Fri May 10 2024 18:34:00 GMT-0300 (Horário Padrão de Brasília),606480000,-25522432,4416974848
Fri May 10 2024 18:35:00 GMT-0300 (Horário Padrão de Brasília),613439104,-22638848,3168342016
Fri May 10 2024 18:36:00 GMT-0300 (Horário Padrão de Brasília),614876800,-23650560,-1317629952
Fri May 10 2024 18:37:00 GMT-0300 (Horário Padrão de Brasília),617928320,-24510720,-1352433664
Fri May 10 2024 18:38:00 GMT-0300 (Horário Padrão de Brasília),611808896,-25796864,-968642560
Fri May 10 2024 18:39:00 GMT-0300 (Horário Padrão de Brasília),611763840,-27177216,563122176
Fri May 10 2024 18:40:00 GMT-0300 (Horário Padrão de Brasília),600274560,-27218176,1610178560
Fri May 10 2024 18:41:00 GMT-0300 (Horário Padrão de Brasília),608884352,-26022144,-196734976
Fri May 10 2024 18:42:00 GMT-0300 (Horário Padrão de Brasília),605333120,-25772288,-1806680064
Fri May 10 2024 18:43:00 GMT-0300 (Horário Padrão de Brasília),604661376,-24277248,-1807052800
Fri May 10 2024 18:44:00 GMT-0300 (Horário Padrão de Brasília),607368832,-24506624,1215541248
Fri May 10 2024 18:45:00 GMT-0300 (Horário Padrão de Brasília),602412672,-24449280,4161171456
Fri May 10 2024 18:46:00 GMT-0300 (Horário Padrão de Brasília),604272256,-24260864,6219685888
Fri May 10 2024 18:47:00 GMT-0300 (Horário Padrão de Brasília),601220736,-24879360,2092933120
Fri May 10 2024 18:48:00 GMT-0300 (Horário Padrão de Brasília),598222464,-26071296,-148353024
Fri May 10 2024 18:49:00 GMT-0300 (Horário Padrão de Brasília),599881344,-24641792,215842816
Fri May 10 2024 18:50:00 GMT-0300 (Horário Padrão de Brasília),606709376,-24187136,49799168
Fri May 10 2024 18:51:00 GMT-0300 (Horário Padrão de Brasília),603674240,-24920320,-126160896
Fri May 10 2024 18:52:00 GMT-0300 (Horário Padrão de Brasília),594466432,-24527104,2965004288
Fri May 10 2024 18:53:00 GMT-0300 (Horário Padrão de Brasília),593442432,-25809152,9794686976
Fri May 10 2024 18:54:00 GMT-0300 (Horário Padrão de Brasília),597669504,-25788672,12147732480
Fri May 10 2024 18:55:00 GMT-0300 (Horário Padrão de Brasília),602642048,-26407168,5487435776
Fri May 10 2024 18:56:00 GMT-0300 (Horário Padrão de Brasília),577214080,-25276672,-407977984
Fri May 10 2024 18:57:00 GMT-0300 (Horário Padrão de Brasília),568628864,-25338112,-1274163200
Fri May 10 2024 18:58:00 GMT-0300 (Horário Padrão de Brasília),576550528,-25878784,6392123392
Fri May 10 2024 18:59:00 GMT-0300 (Horário Padrão de Brasília),584324736,-25063680,12515479552
Fri May 10 2024 19:00:00 GMT-0300 (Horário Padrão de Brasília),588260992,-23732480,10270429184
Fri May 10 2024 19:01:00 GMT-0300 (Horário Padrão de Brasília),590677632,-22720768,8402907136
Fri May 10 2024 19:02:00 GMT-0300 (Horário Padrão de Brasília),597427840,-23412992,2764836864
Fri May 10 2024 19:03:00 GMT-0300 (Horário Padrão de Brasília),555935360,-23859456,-1534246912
Fri May 10 2024 19:04:00 GMT-0300 (Horário Padrão de Brasília),573998720,-24142080,-1538682880
Fri May 10 2024 19:05:00 GMT-0300 (Horário Padrão de Brasília),580150912,-24117504,-1867485184
Fri May 10 2024 19:06:00 GMT-0300 (Horário Padrão de Brasília),579868288,-26652928,-1922994176
Fri May 10 2024 19:07:00 GMT-0300 (Horário Padrão de Brasília),587560576,-26575104,-1722015744
Fri May 10 2024 19:08:00 GMT-0300 (Horário Padrão de Brasília),556697216,-23621888,-2101854208
Fri May 10 2024 19:09:00 GMT-0300 (Horário Padrão de Brasília),583296640,-25358592,-1894457344
Fri May 10 2024 19:10:00 GMT-0300 (Horário Padrão de Brasília),585803392,-26079488,-1940615168
Fri May 10 2024 19:11:00 GMT-0300 (Horário Padrão de Brasília),575141504,-28102912,265760768
Fri May 10 2024 19:12:00 GMT-0300 (Horário Padrão de Brasília),577123968,-37449984,-1824030720
Fri May 10 2024 19:13:00 GMT-0300 (Horário Padrão de Brasília),482240128,-63115520,-1976971264
Fri May 10 2024 19:14:00 GMT-0300 (Horário Padrão de Brasília),482498176,-67186944,-2234961920
Fri May 10 2024 19:15:00 GMT-0300 (Horário Padrão de Brasília),481457792,-68251904,1955409920
Fri May 10 2024 19:16:00 GMT-0300 (Horário Padrão de Brasília),448669312,-66932992,-2604744704
Fri May 10 2024 19:17:00 GMT-0300 (Horário Padrão de Brasília),474756736,-68354304,-737689600
Fri May 10 2024 19:18:00 GMT-0300 (Horário Padrão de Brasília),467834496,-67387648,-687202304
Fri May 10 2024 19:19:00 GMT-0300 (Horário Padrão de Brasília),467510912,-68489472,-41394176
Fri May 10 2024 19:20:00 GMT-0300 (Horário Padrão de Brasília),457778816,-66998528,4482846720
Fri May 10 2024 19:21:00 GMT-0300 (Horário Padrão de Brasília),467900032,-66797824,1439064064
Fri May 10 2024 19:22:00 GMT-0300 (Horário Padrão de Brasília),472254080,-67256576,-215838720
Fri May 10 2024 19:23:00 GMT-0300 (Horário Padrão de Brasília),464168576,-68677888,-26005504
Fri May 10 2024 19:24:00 GMT-0300 (Horário Padrão de Brasília),471926400,-68215040,-86347776
Fri May 10 2024 19:25:00 GMT-0300 (Horário Padrão de Brasília),462411392,-65978624,-109060096
Fri May 10 2024 19:26:00 GMT-0300 (Horário Padrão de Brasília),465389184,-67465472,444297216
Fri May 10 2024 19:27:00 GMT-0300 (Horário Padrão de Brasília),469452416,-67813632,-401924096
Fri May 10 2024 19:28:00 GMT-0300 (Horário Padrão de Brasília),472745600,-67784960,-435548160
Fri May 10 2024 19:29:00 GMT-0300 (Horário Padrão de Brasília),475338368,-67940608,-458706944
Fri May 10 2024 19:30:00 GMT-0300 (Horário Padrão de Brasília),475080320,-67596544,-456765440
Fri May 10 2024 19:31:00 GMT-0300 (Horário Padrão de Brasília),475833984,-67436800,-458534912
Fri May 10 2024 19:32:00 GMT-0300 (Horário Padrão de Brasília),480425600,-67744000,-457912320
Fri May 10 2024 19:33:00 GMT-0300 (Horário Padrão de Brasília),478746240,-68256000,-410157056
Fri May 10 2024 19:34:00 GMT-0300 (Horário Padrão de Brasília),476534400,-68178176,-411500544
Fri May 10 2024 19:35:00 GMT-0300 (Horário Padrão de Brasília),479147648,-69341440,-412999680
