activity_id,stage,reference_machine,speedup_factor,started_at,finished_at,duration_seconds,et0_seconds
mprojectid0000022,mproject,c3d-standard-16,1.0,2024-05-31 19:52:54,2024-05-31 20:11:34,1120,1120
mprojectid0000023,mproject,c3d-standard-16,1.0,2024-05-31 19:52:54,2024-05-31 20:11:46,1132,1132
mdifffitid0000024,mdifffit,c3d-standard-16,1.0,2024-05-31 20:02:06,2024-05-31 20:02:22,16,16
mdifffitid0000025,mdifffit,c3d-standard-16,1.0,2024-05-31 20:12:09,2024-05-31 20:12:29,20,20
mdifffitid0000026,mdifffit,c3d-standard-16,1.0,2024-05-31 20:12:10,2024-05-31 20:12:26,16,16
mdifffitid0000027,mdifffit,c3d-standard-16,1.0,2024-05-31 20:12:19,2024-05-31 20:12:34,15,15
mdifffitid0000028,mdifffit,c3d-standard-16,1.0,2024-05-31 20:12:24,2024-05-31 20:12:44,20,20
mdifffitid0000029,mdifffit,c3d-standard-16,1.0,2024-05-31 20:12:13,2024-05-31 20:12:26,13,13
mconcatfitid0000030,mconcatfit,c3d-standard-16,1.0,2024-05-31 20:13:16,2024-05-31 20:13:25,9,9
mbgmodelid0000031,mbgmodel,c3d-standard-16,1.0,2024-05-31 20:13:58,2024-05-31 20:14:05,7,7
mbackgroundid0000032,mbackground,c3d-standard-16,1.0,2024-05-31 20:14:40,2024-05-31 20:14:49,9,9
mbackgroundid0000033,mbackground,c3d-standard-16,1.0,2024-05-31 20:14:42,2024-05-31 20:15:07,25,25
mbackgroundid0000034,mbackground,c3d-standard-16,1.0,2024-05-31 20:14:42,2024-05-31 20:15:05,23,23
mbackgroundid0000035,mbackground,c3d-standard-16,1.0,2024-05-31 20:14:40,2024-05-31 20:14:49,9,9
mimgtblid0000036,mimgtbl,c3d-standard-16,1.0,2024-05-31 20:15:46,2024-05-31 20:16:11,25,25
maddid0000037,madd,c3d-standard-16,1.0,2024-05-31 20:17:03,2024-05-31 20:17:12,9,9
mviewerid0000038,mviewer,c3d-standard-16,1.0,2024-05-31 20:17:46,2024-05-31 20:17:54,8,8
mprojectid0000039,mproject,c3d-standard-16,1.0,2024-05-31 19:52:54,2024-05-31 20:18:34,1540,1540
mprojectid0000040,mproject,c3d-standard-16,1.0,2024-05-31 19:52:55,2024-05-31 20:18:32,1537,1537
mprojectid0000041,mproject,c3d-standard-16,1.0,2024-05-31 19:52:55,2024-05-31 20:05:28,753,753
mprojectid0000042,mproject,c3d-standard-16,1.0,2024-05-31 19:52:55,2024-05-31 20:18:41,1546,1546
mdifffitid0000043,mdifffit,c3d-standard-16,1.0,2024-05-31 20:19:08,2024-05-31 20:19:19,11,11
mdifffitid0000044,mdifffit,c3d-standard-16,1.0,2024-05-31 20:19:08,2024-05-31 20:19:19,11,11
mdifffitid0000045,mdifffit,c3d-standard-16,1.0,2024-05-31 20:19:09,2024-05-31 20:19:25,16,16
mdifffitid0000046,mdifffit,c3d-standard-16,1.0,2024-05-31 20:19:05,2024-05-31 20:19:19,14,14
mdifffitid0000047,mdifffit,c3d-standard-16,1.0,2024-05-31 20:19:05,2024-05-31 20:19:19,14,14
mdifffitid0000048,mdifffit,c3d-standard-16,1.0,2024-05-31 20:19:12,2024-05-31 20:19:31,19,19
mconcatfitid0000049,mconcatfit,c3d-standard-16,1.0,2024-05-31 20:19:59,2024-05-31 20:20:04,5,5
mbgmodelid0000050,mbgmodel,c3d-standard-16,1.0,2024-05-31 20:20:31,2024-05-31 20:20:51,20,20
mbackgroundid0000051,mbackground,c3d-standard-16,1.0,2024-05-31 20:21:42,2024-05-31 20:21:58,16,16
mbackgroundid0000052,mbackground,c3d-standard-16,1.0,2024-05-31 20:21:31,2024-05-31 20:21:40,9,9
mbackgroundid0000053,mbackground,c3d-standard-16,1.0,2024-05-31 20:21:28,2024-05-31 20:21:40,12,12
mbackgroundid0000054,mbackground,c3d-standard-16,1.0,2024-05-31 20:21:28,2024-05-31 20:21:40,12,12
mimgtblid0000055,mimgtbl,c3d-standard-16,1.0,2024-05-31 20:22:30,2024-05-31 20:22:39,9,9
maddid0000056,madd,c3d-standard-16,1.0,2024-05-31 20:25:04,2024-05-31 20:25:06,2,2
mviewerid0000057,mviewer,c3d-standard-16,1.0,2024-05-31 20:36:00,2024-05-31 20:36:01,1,1
mviewerid0000058,mviewer,c3d-standard-16,1.0,2024-05-31 20:39:40,2024-05-31 20:39:47,7,7
