TimeSeries ID,value_request_bytes_aggregate resource.namespace_name=kube-system,value_request_bytes_aggregate resource.namespace_name=gmp-system,value_request_bytes_aggregate resource.namespace_name=akoflow
resource.namespace_name,kube-system,gmp-system,akoflow
Thu May 09 2024 22:02:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,8053063680
Thu May 09 2024 22:03:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,5100273664
Thu May 09 2024 22:04:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,0
Thu May 09 2024 22:05:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,0
Thu May 09 2024 22:06:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,268435456
Thu May 09 2024 22:07:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,536870912
Thu May 09 2024 22:08:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,536870912
Thu May 09 2024 22:09:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,0
Thu May 09 2024 22:10:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,536870912
Thu May 09 2024 22:11:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,805306368
Thu May 09 2024 22:12:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,268435456
Thu May 09 2024 22:13:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,1073741824
Thu May 09 2024 22:14:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,805306368
Thu May 09 2024 22:15:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,536870912
Thu May 09 2024 22:16:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,536870912
Thu May 09 2024 22:17:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,0
Thu May 09 2024 22:18:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,0
Thu May 09 2024 22:19:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,0
Thu May 09 2024 22:20:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,0
Thu May 09 2024 22:21:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,0
Thu May 09 2024 22:22:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,0
Thu May 09 2024 22:23:00 GMT-0300 (Horário Padrão de Brasília),1042847360,92000000,0
