TimeSeries ID,t_0_value_request_bytes_sum_sub resource.namespace_name=kube-system,t_0_value_request_bytes_sum_sub resource.namespace_name=gmp-system,t_0_value_request_bytes_sum_sub resource.namespace_name=akoflow
resource.namespace_name,kube-system,gmp-system,akoflow
Thu May 09 2024 21:01:00 GMT-0300 (Horário Padrão de Brasília),661829248,-15687936,undefined
Thu May 09 2024 21:02:00 GMT-0300 (Horário Padrão de Brasília),659052160,-17293568,undefined
Thu May 09 2024 21:03:00 GMT-0300 (Horário Padrão de Brasília),659461760,-14561536,-7524352
Thu May 09 2024 21:04:00 GMT-0300 (Horário Padrão de Brasília),643139200,-15048960,-7375736832
Thu May 09 2024 21:05:00 GMT-0300 (Horário Padrão de Brasília),647239296,-13725952,-229240832
Thu May 09 2024 21:06:00 GMT-0300 (Horário Padrão de Brasília),648701568,-14401792,-293109760
Thu May 09 2024 21:07:00 GMT-0300 (Horário Padrão de Brasília),647120512,-13091072,-358981632
Thu May 09 2024 21:08:00 GMT-0300 (Horário Padrão de Brasília),649942656,-13504768,-412717056
Thu May 09 2024 21:09:00 GMT-0300 (Horário Padrão de Brasília),650573440,-16408832,-471244800
Thu May 09 2024 21:10:00 GMT-0300 (Horário Padrão de Brasília),645240448,-16765184,-532217856
Thu May 09 2024 21:11:00 GMT-0300 (Horário Padrão de Brasília),649361024,-16933120,-581689344
Thu May 09 2024 21:12:00 GMT-0300 (Horário Padrão de Brasília),652138112,-17690880,-639029248
Thu May 09 2024 21:13:00 GMT-0300 (Horário Padrão de Brasília),651159168,-15642880,-691060736
Thu May 09 2024 21:14:00 GMT-0300 (Horário Padrão de Brasília),651159168,-15642880,-691060736
Thu May 09 2024 21:15:00 GMT-0300 (Horário Padrão de Brasília),628295296,-11985152,5525901312
Thu May 09 2024 21:16:00 GMT-0300 (Horário Padrão de Brasília),639129216,-13693184,548904960
Thu May 09 2024 21:17:00 GMT-0300 (Horário Padrão de Brasília),622311040,-13308160,2218422272
Thu May 09 2024 21:18:00 GMT-0300 (Horário Padrão de Brasília),633570944,-15163648,1597550592
Thu May 09 2024 21:19:00 GMT-0300 (Horário Padrão de Brasília),634455680,-16711936,3808542720
Thu May 09 2024 21:20:00 GMT-0300 (Horário Padrão de Brasília),631920256,-15446272,4318908416
Thu May 09 2024 21:21:00 GMT-0300 (Horário Padrão de Brasília),628668032,-16130304,5027024896
Thu May 09 2024 21:22:00 GMT-0300 (Horário Padrão de Brasília),629925504,-16818432,4199497728
Thu May 09 2024 21:23:00 GMT-0300 (Horário Padrão de Brasília),625694336,-15724800,3042377728
Thu May 09 2024 21:24:00 GMT-0300 (Horário Padrão de Brasília),625624704,-15589632,1655193600
Thu May 09 2024 21:25:00 GMT-0300 (Horário Padrão de Brasília),625624704,-15589632,-449499136
Thu May 09 2024 21:26:00 GMT-0300 (Horário Padrão de Brasília),627807872,-16728320,6864564224
Thu May 09 2024 21:27:00 GMT-0300 (Horário Padrão de Brasília),625186432,-17641728,10660601856
Thu May 09 2024 21:28:00 GMT-0300 (Horário Padrão de Brasília),632546944,-18325760,10316816384
Thu May 09 2024 21:29:00 GMT-0300 (Horário Padrão de Brasília),633431680,-13488384,6933315584
Thu May 09 2024 21:30:00 GMT-0300 (Horário Padrão de Brasília),636106368,-14721280,3661242368
Thu May 09 2024 21:31:00 GMT-0300 (Horário Padrão de Brasília),629552768,-15622400,-407539712
Thu May 09 2024 21:32:00 GMT-0300 (Horário Padrão de Brasília),607327872,-15741184,4488368128
Thu May 09 2024 21:33:00 GMT-0300 (Horário Padrão de Brasília),599074432,-16007424,5989715968
Thu May 09 2024 21:34:00 GMT-0300 (Horário Padrão de Brasília),610682496,-16478464,2534768640
Thu May 09 2024 21:35:00 GMT-0300 (Horário Padrão de Brasília),623388288,-16720128,7944904704
Thu May 09 2024 21:36:00 GMT-0300 (Horário Padrão de Brasília),623388288,-16720128,8481775616
Thu May 09 2024 21:37:00 GMT-0300 (Horário Padrão de Brasília),617854592,-16355584,14719004672
Thu May 09 2024 21:38:00 GMT-0300 (Horário Padrão de Brasília),620037760,-17060096,12208222208
Thu May 09 2024 21:39:00 GMT-0300 (Horário Padrão de Brasília),613160576,-15872256,11915976704
Thu May 09 2024 21:40:00 GMT-0300 (Horário Padrão de Brasília),616928896,-17588480,14301351936
Thu May 09 2024 21:41:00 GMT-0300 (Horário Padrão de Brasília),618829440,-19157248,7285805056
Thu May 09 2024 21:42:00 GMT-0300 (Horário Padrão de Brasília),614758016,-18796800,-1171120128
Thu May 09 2024 21:43:00 GMT-0300 (Horário Padrão de Brasília),573191808,-17649920,-759824384
Thu May 09 2024 21:44:00 GMT-0300 (Horário Padrão de Brasília),578741888,-18497792,-606781440
Thu May 09 2024 21:45:00 GMT-0300 (Horário Padrão de Brasília),608114304,-15737088,-737849344
Thu May 09 2024 21:46:00 GMT-0300 (Horário Padrão de Brasília),624694912,-16703744,-1176227840
Thu May 09 2024 21:47:00 GMT-0300 (Horário Padrão de Brasília),627984000,-16355584,-152817664
Thu May 09 2024 21:48:00 GMT-0300 (Horário Padrão de Brasília),592082560,-16957696,-801939456
Thu May 09 2024 21:49:00 GMT-0300 (Horário Padrão de Brasília),583575168,-16105728,-883646464
Thu May 09 2024 21:50:00 GMT-0300 (Horário Padrão de Brasília),584590976,-16355584,-1003229184
Thu May 09 2024 21:51:00 GMT-0300 (Horário Padrão de Brasília),584955520,-15208704,-1619267584
Thu May 09 2024 21:52:00 GMT-0300 (Horário Padrão de Brasília),613660288,-15536384,1012928512
Thu May 09 2024 21:53:00 GMT-0300 (Horário Padrão de Brasília),615245440,-15732992,-678993920
