TimeSeries ID,value_core_usage_time_aggregate resource.namespace_name=kube-system,value_core_usage_time_aggregate resource.namespace_name=gmp-system,value_core_usage_time_aggregate resource.namespace_name=akoflow
resource.namespace_name,kube-system,gmp-system,akoflow
Sat May 11 2024 10:44:00 GMT-0300 (Horário Padrão de Brasília),0.02651310466000183,0.012044798273546438,undefined
Sat May 11 2024 10:45:00 GMT-0300 (Horário Padrão de Brasília),0.03382194687105517,0.011439212403276973,undefined
Sat May 11 2024 10:46:00 GMT-0300 (Horário Padrão de Brasília),0.028175720265752227,0.01117410599549468,undefined
Sat May 11 2024 10:47:00 GMT-0300 (Horário Padrão de Brasília),0.03919325437483862,0.011688963397031196,0.002781286936126168
Sat May 11 2024 10:48:00 GMT-0300 (Horário Padrão de Brasília),0.033750161661294166,0.012034043986960204,0.0025726578342142583
Sat May 11 2024 10:49:00 GMT-0300 (Horário Padrão de Brasília),0.07417630547597943,0.010491464039082979,2.3864609951412863
Sat May 11 2024 10:50:00 GMT-0300 (Horário Padrão de Brasília),0.08118548628901029,0.010111053564021569,4.646304668241021
Sat May 11 2024 10:51:00 GMT-0300 (Horário Padrão de Brasília),0.07464863497025033,0.010952772615303037,4.383954717649604
Sat May 11 2024 10:52:00 GMT-0300 (Horário Padrão de Brasília),0.07760493724298344,0.009124844318921651,3.231177667305616
Sat May 11 2024 10:53:00 GMT-0300 (Horário Padrão de Brasília),0.0721577777019906,0.010552573246813659,3.1565230281130487
Sat May 11 2024 10:54:00 GMT-0300 (Horário Padrão de Brasília),0.07054615075765848,0.011272506497518245,3.512654700344629
Sat May 11 2024 10:55:00 GMT-0300 (Horário Padrão de Brasília),0.061267201961667975,0.011989461371064655,1.1068566896512437
Sat May 11 2024 10:56:00 GMT-0300 (Horário Padrão de Brasília),0.10258117839565586,0.014299993581617442,3.360411423107461
Sat May 11 2024 10:57:00 GMT-0300 (Horário Padrão de Brasília),0.054444218365357296,0.011349977536131206,3.370777307714151
Sat May 11 2024 10:58:00 GMT-0300 (Horário Padrão de Brasília),0.06111536692961851,0.010864470798725514,3.555756046174003
Sat May 11 2024 10:59:00 GMT-0300 (Horário Padrão de Brasília),0.06283411282068112,0.010804010530828023,3.39234862056903
Sat May 11 2024 11:00:00 GMT-0300 (Horário Padrão de Brasília),0.05316065536724922,0.00993830843998502,3.448190407052385
Sat May 11 2024 11:01:00 GMT-0300 (Horário Padrão de Brasília),0.060914840424780924,0.010374063005477652,2.115938900428715
Sat May 11 2024 11:02:00 GMT-0300 (Horário Padrão de Brasília),0.04206612981322836,0.009786101620342436,1.7700629808684112
Sat May 11 2024 11:03:00 GMT-0300 (Horário Padrão de Brasília),0.033886102821029655,0.009130719091747489,3.1981377318194424
Sat May 11 2024 11:04:00 GMT-0300 (Horário Padrão de Brasília),0.1574173305843771,0.015048110656185778,4.008317579809038
Sat May 11 2024 11:05:00 GMT-0300 (Horário Padrão de Brasília),0.15979110767059307,0.02759909284266892,4.330108202051372
Sat May 11 2024 11:06:00 GMT-0300 (Horário Padrão de Brasília),0.0912210332389734,0.010421157047867287,3.4866499790347394
Sat May 11 2024 11:07:00 GMT-0300 (Horário Padrão de Brasília),0.08466173244814901,0.010251644092866267,3.082166756112548
Sat May 11 2024 11:08:00 GMT-0300 (Horário Padrão de Brasília),0.13165748389046175,0.019928093980150642,1.9422894035897351
Sat May 11 2024 11:09:00 GMT-0300 (Horário Padrão de Brasília),0.16875371413156645,0.03273597362176837,3.887356723139083
Sat May 11 2024 11:10:00 GMT-0300 (Horário Padrão de Brasília),0.16454741704986794,0.03467749941282522,4.094295858203353
Sat May 11 2024 11:11:00 GMT-0300 (Horário Padrão de Brasília),0.11538210043287776,0.024449786019100136,4.022023354458791
Sat May 11 2024 11:12:00 GMT-0300 (Horário Padrão de Brasília),0.062179785473916206,0.009252356660489743,4.4409081636918035
Sat May 11 2024 11:13:00 GMT-0300 (Horário Padrão de Brasília),0.07211484073074234,0.010683272841972406,4.261357785149922
Sat May 11 2024 11:14:00 GMT-0300 (Horário Padrão de Brasília),0.06559334881277046,0.009571221656556498,2.443562478689471
Sat May 11 2024 11:15:00 GMT-0300 (Horário Padrão de Brasília),0.16452582227232926,0.018091198237916117,2.32081508213942
Sat May 11 2024 11:16:00 GMT-0300 (Horário Padrão de Brasília),0.18686714962291007,0.037584444371851454,4.053413873224993
Sat May 11 2024 11:17:00 GMT-0300 (Horário Padrão de Brasília),0.15884587578146594,0.022825348899324756,4.635896296875472
Sat May 11 2024 11:18:00 GMT-0300 (Horário Padrão de Brasília),0.12370970896145436,0.011624509610573241,4.259413637755118
Sat May 11 2024 11:19:00 GMT-0300 (Horário Padrão de Brasília),0.17537003669478618,0.029487292143334898,3.203124773107679
Sat May 11 2024 11:20:00 GMT-0300 (Horário Padrão de Brasília),0.05765308663959303,0.010804239747074482,3.0124909731391654
Sat May 11 2024 11:21:00 GMT-0300 (Horário Padrão de Brasília),0.1273526344334112,0.01744463628889624,1.8408736336001903
Sat May 11 2024 11:22:00 GMT-0300 (Horário Padrão de Brasília),0.1791225170078272,0.03459037628389071,2.8171748421118137
Sat May 11 2024 11:23:00 GMT-0300 (Horário Padrão de Brasília),0.2883635487042115,0.03833778789404162,3.115434682150561
Sat May 11 2024 11:24:00 GMT-0300 (Horário Padrão de Brasília),0.19849516255561728,0.02733569711565735,3.7191482444124757
Sat May 11 2024 11:25:00 GMT-0300 (Horário Padrão de Brasília),0.10176507846872757,0.010727870119983626,3.952851600404434
