TimeSeries ID,t_0_value_request_bytes_sum_sub resource.namespace_name=kube-system,t_0_value_request_bytes_sum_sub resource.namespace_name=gmp-system,t_0_value_request_bytes_sum_sub resource.namespace_name=akoflow
resource.namespace_name,kube-system,gmp-system,akoflow
Fri May 10 2024 00:04:00 GMT-0300 (Horário Padrão de Brasília),737777280,-3813632,-7221248
Fri May 10 2024 00:05:00 GMT-0300 (Horário Padrão de Brasília),728524416,-7328000,-16924672
Fri May 10 2024 00:06:00 GMT-0300 (Horário Padrão de Brasília),701855360,-13533440,196313088
Fri May 10 2024 00:07:00 GMT-0300 (Horário Padrão de Brasília),700270208,-14135552,-385871872
Fri May 10 2024 00:08:00 GMT-0300 (Horário Padrão de Brasília),700954240,-15683840,-520781824
Fri May 10 2024 00:09:00 GMT-0300 (Horário Padrão de Brasília),693929600,-12263680,-634302464
Fri May 10 2024 00:10:00 GMT-0300 (Horário Padrão de Brasília),697665152,-10309888,-715239424
Fri May 10 2024 00:11:00 GMT-0300 (Horário Padrão de Brasília),695654016,-9416960,-896708608
Fri May 10 2024 00:12:00 GMT-0300 (Horário Padrão de Brasília),694597248,-9842944,-155140096
Fri May 10 2024 00:13:00 GMT-0300 (Horário Padrão de Brasília),692520576,-10150144,-296677376
Fri May 10 2024 00:14:00 GMT-0300 (Horário Padrão de Brasília),695936640,-11227392,-356806656
Fri May 10 2024 00:15:00 GMT-0300 (Horário Padrão de Brasília),699369088,-11489536,2176192512
Fri May 10 2024 00:16:00 GMT-0300 (Horário Padrão de Brasília),694679168,-12075264,641769472
Fri May 10 2024 00:17:00 GMT-0300 (Horário Padrão de Brasília),687318656,-11043072,274395136
Fri May 10 2024 00:18:00 GMT-0300 (Horário Padrão de Brasília),687810176,-10846464,-95371264
Fri May 10 2024 00:19:00 GMT-0300 (Horário Padrão de Brasília),681911936,-11395328,69066752
Fri May 10 2024 00:20:00 GMT-0300 (Horário Padrão de Brasília),686298752,-12095744,-278167552
Fri May 10 2024 00:21:00 GMT-0300 (Horário Padrão de Brasília),678008448,-14524672,1858994176
Fri May 10 2024 00:22:00 GMT-0300 (Horário Padrão de Brasília),674268800,-14119168,2188947456
Fri May 10 2024 00:23:00 GMT-0300 (Horário Padrão de Brasília),678069888,-12378368,3392737280
Fri May 10 2024 00:24:00 GMT-0300 (Horário Padrão de Brasília),678958720,-10629376,4383109120
Fri May 10 2024 00:25:00 GMT-0300 (Horário Padrão de Brasília),675776128,-10367232,4055093248
Fri May 10 2024 00:26:00 GMT-0300 (Horário Padrão de Brasília),674985600,-10600704,4183420928
Fri May 10 2024 00:27:00 GMT-0300 (Horário Padrão de Brasília),672507520,-11391232,2729594880
Fri May 10 2024 00:28:00 GMT-0300 (Horário Padrão de Brasília),667899520,-11755776,2637639680
Fri May 10 2024 00:29:00 GMT-0300 (Horário Padrão de Brasília),673420928,-11772160,2812649472
Fri May 10 2024 00:30:00 GMT-0300 (Horário Padrão de Brasília),670492288,-12083456,1814515712
Fri May 10 2024 00:31:00 GMT-0300 (Horário Padrão de Brasília),672544384,-12476672,347234304
Fri May 10 2024 00:32:00 GMT-0300 (Horário Padrão de Brasília),669636224,-12280064,569982976
Fri May 10 2024 00:33:00 GMT-0300 (Horário Padrão de Brasília),669013632,-10465536,350470144
Fri May 10 2024 00:34:00 GMT-0300 (Horário Padrão de Brasília),665351808,-12923136,181407744
Fri May 10 2024 00:35:00 GMT-0300 (Horário Padrão de Brasília),669443712,-12804352,554459136
Fri May 10 2024 00:36:00 GMT-0300 (Horário Padrão de Brasília),664446592,-13119744,2017128448
Fri May 10 2024 00:37:00 GMT-0300 (Horário Padrão de Brasília),666482304,-14168320,3963613184
